PID,SalePrice
907135180,120267.14376037098
528181040,198863.52456568985
528175010,199424.80578633444
531379030,190542.78470369897
923275090,125735.13215169158
528181070,212391.9530710953
908103280,156576.64569148398
902201110,132905.73448382583
905103070,132819.2382479076
527162180,179891.47120265424
905450020,161911.99660885963
535301150,154135.23761085738
535451170,92754.42233233579
909250060,198786.27875636786
527254020,301482.48260621383
911128180,81987.76400318075
534475170,177046.2192030441
535402180,126844.92592640412
528235180,187417.44665472614
907200130,121551.6079862229
906476030,181521.8453540559
923203090,145937.00127272436
903454020,88641.288164244
534277060,105343.13589570294
535450220,130959.07005133988
527252090,282190.8480285739
535300040,123643.60342786004
533241010,213785.1980727568
903201090,123931.18512218459
921128030,363227.4161529818
535180020,152232.26189155973
527106050,166597.76861346202
903233050,123679.91748843408
527105010,159941.5947100565
907196050,215229.99644154456
535375010,85554.14057714319
909455040,192801.7276927376
911370410,246069.383536261
906223080,213291.3191583086
902204080,88711.23709148465
916225130,271886.3098735758
534400060,157955.96833082518
528178090,330290.5686603921
528235190,204582.44503881698
906477110,148851.59599723088
902106090,129803.26466701453
535327160,111776.02444297605
909129100,114524.08005580826
909281110,189959.68808601605
528188120,172429.15555113123
528150120,304666.543492375
535125060,221851.88617898035
906380120,201236.57600346528
527451020,117842.99019964511
528429100,272049.4677449553
527132090,234464.81264791617
902427045,113199.80092348004
923276260,138185.01270434546
907290140,144585.14752762904
906380100,308984.94183706923
527377110,182248.15042269434
535379110,121278.92036783445
527427230,189322.59853503396
905105010,130104.06540757176
533215080,270341.11131922784
903484080,79658.92328629605
528441080,259308.18078412148
528120100,220530.8446588357
902301060,86300.77540823413
528231050,182223.66497985212
535353190,140870.76008613655
907201280,138213.39302111234
528315080,278427.17783162283
531375060,172806.39199102877
906200230,173649.58616027178
527451550,106585.92656326735
902103090,107128.8969363698
534401190,148563.7935499234
909425085,258192.58014257543
526352080,182291.8480184286
907126050,157038.11281761547
905352180,212123.07020717784
533212060,136272.7431025099
527356050,139391.7171378948
534479240,137869.55950673833
906226130,125382.42292397188
923228210,86178.05291019939
903227080,127028.33270252183
535179120,114322.77619922318
908201100,98605.74315351443
532479050,128218.28122676286
534402060,138835.30115525724
902109160,119460.51419850366
904302030,187848.46126101114
902300215,126156.72501325257
903228070,98245.30701242592
902406070,124910.78799974106
907410020,197962.83224125777
528365090,296054.5226211233
534450110,69939.28801007854
527146135,315279.1069879529
