PID,SalePrice
907135180,126905.57737941384
528181040,219959.5146194737
528175010,219375.67170033712
531379030,185771.3721624306
923275090,128411.28903853564
528181070,222804.9381349483
908103280,146208.9652286552
902201110,126208.79280164816
905103070,138936.3959233323
527162180,177584.58371896518
905450020,147231.10148531967
535301150,156322.6264784346
535451170,84738.52417786328
909250060,201592.96620990633
527254020,325505.9563431423
911128180,78489.72232008641
534475170,176552.13975707127
535402180,123962.05869636031
528235180,182142.51460182114
907200130,128048.2431344936
906476030,192128.2511926098
923203090,147405.21133517456
903454020,77928.1150356362
534277060,114427.57405269989
535450220,134743.66800429873
527252090,296090.3055011327
535300040,131481.12957352778
533241010,227327.18363224895
903201090,107105.46884515142
921128030,336283.80674825073
535180020,152222.61712050624
527106050,166149.17924170088
903233050,127863.75050963821
527105010,161696.57814214344
907196050,212369.8885505123
535375010,86221.64164874043
909455040,179903.60415806036
911370410,256401.31709299382
906223080,202967.14934344048
902204080,87359.4814198587
916225130,277319.4947931734
534400060,160679.939928117
528178090,358548.4794596473
528235190,196027.05936907223
906477110,160682.06606511073
902106090,126675.99667719542
535327160,117414.46830088248
909129100,124049.543388949
909281110,214092.64923234266
528188120,199078.90017767152
528150120,333381.5899085321
535125060,217205.83620351943
906380120,195602.08708653983
527451020,116742.41650658846
528429100,267226.09430075646
527132090,256890.45167435153
902427045,107781.55302402265
923276260,142881.657844085
907290140,141559.26726429592
906380100,281866.3302700224
527377110,178357.05237991607
535379110,122350.25811543888
527427230,176783.90962193135
905105010,134014.92510379816
533215080,246205.0366641129
903484080,53061.542288037315
528441080,256535.0259813948
528120100,246808.67269658638
902301060,93766.52365131762
528231050,179931.2026046898
535353190,144806.14972472025
907201280,142773.09612779634
528315080,292235.33371314144
531375060,161736.50519707944
906200230,169012.61338073082
527451550,107396.12972134139
902103090,99801.79153966253
534401190,147948.96566847782
909425085,286137.1513063643
526352080,181358.67407983227
907126050,157393.90935756723
905352180,223663.67149679054
533212060,146789.32609940442
527356050,130924.61002163023
534479240,140060.78859247328
906226130,126518.95483691404
923228210,82760.44080648385
903227080,128455.18247693607
535179120,118328.04638986362
908201100,89739.28527690443
532479050,132160.94127494952
534402060,135570.5725532455
902109160,108168.20562828363
904302030,182713.55511180856
902300215,124377.46968038807
903228070,104559.12344154599
902406070,122758.85678286386
907410020,195310.09496810607
528365090,316472.8467255205
534450110,70353.02140608232
527146135,341990.27882427856
535325340,139905.07405584006
534452060,114563.4459611233
535325090,135302.09202969034
534202130,140049.31986939494
528118020,347774.8687713078
527214050,386049.5281863653
907401060,219273.73727694966
905104210,121265.52600336421
905225080,237835.32505351963
535178060,139758.98658756784
914476450,158961.22730626378
533250050,223882.71756870096
535450070,140894.97590559055
528181060,233275.43217909694
535454100,130967.52900813361
534476080,145546.46502355317
909452114,251355.29066988744
903476090,125395.31855434358
904101040,131255.53408468404
